part_name,part_color,quantity,buy_url
Legs Old,Black,1,https://www.bricklink.com/v2/search.page?q=15#T=A
Torso Old,White,1,https://www.bricklink.com/v2/search.page?q=17#T=A
Window 1 x 1 x 2,Red,4,https://www.bricklink.com/v2/search.page?q=29#T=A
Brick 2 x 4 without Cross Supports,Yellow,1,https://www.bricklink.com/v2/search.page?q=3001a#T=A
Brick 2 x 3 without Cross Supports,Yellow,2,https://www.bricklink.com/v2/search.page?q=3002a#T=A
Brick 1 x 2,White,20,https://www.bricklink.com/v2/search.page?q=3004#T=A
Brick 1 x 2,Black,8,https://www.bricklink.com/v2/search.page?q=3004#T=A
Brick 1 x 2,Trans-Clear,2,https://www.bricklink.com/v2/search.page?q=3004#T=A
Brick 1 x 1,Black,6,https://www.bricklink.com/v2/search.page?q=3005#T=A
Brick 1 x 1,White,4,https://www.bricklink.com/v2/search.page?q=3005#T=A
Brick 1 x 8,Black,4,https://www.bricklink.com/v2/search.page?q=3008#T=A
Brick 1 x 8,White,3,https://www.bricklink.com/v2/search.page?q=3008#T=A
Brick 1 x 6,White,5,https://www.bricklink.com/v2/search.page?q=3009#T=A
Brick 1 x 4,White,4,https://www.bricklink.com/v2/search.page?q=3010#T=A
Brick 1 x 4,Black,6,https://www.bricklink.com/v2/search.page?q=3010#T=A
Brick 1 x 4 with Chrome Car Grill Print [Embossed],Yellow,1,https://www.bricklink.com/v2/search.page?q=3010pb035e#T=A
Plate 4 x 4,Black,1,https://www.bricklink.com/v2/search.page?q=3031#T=A
Plate 4 x 4,White,1,https://www.bricklink.com/v2/search.page?q=3031#T=A
Plate 4 x 6,White,2,https://www.bricklink.com/v2/search.page?q=3032#T=A
Plate 4 x 8,Yellow,1,https://www.bricklink.com/v2/search.page?q=3035#T=A
Slope 45° 2 x 4,Black,7,https://www.bricklink.com/v2/search.page?q=3037#T=A
Slope 45° 2 x 4,Trans-Clear,2,https://www.bricklink.com/v2/search.page?q=3037#T=A
Slope 45° 2 x 3,Black,4,https://www.bricklink.com/v2/search.page?q=3038#T=A
Slope 45° 2 x 2,Black,7,https://www.bricklink.com/v2/search.page?q=3039#T=A
Slope 45° 2 x 1 - without Bottom Tube,Red,2,https://www.bricklink.com/v2/search.page?q=3040a#T=A
Slope 45° 2 x 1 - without Bottom Tube,Blue,2,https://www.bricklink.com/v2/search.page?q=3040a#T=A
Slope 45° 2 x 1 - without Bottom Tube,Black,2,https://www.bricklink.com/v2/search.page?q=3040a#T=A
Slope 45° 2 x 4 Double,Black,1,https://www.bricklink.com/v2/search.page?q=3041#T=A
Slope 45° 2 x 3 Double,Black,4,https://www.bricklink.com/v2/search.page?q=3042#T=A
Slope 45° 2 x 1 Double without Bottom Pin,Black,2,https://www.bricklink.com/v2/search.page?q=3044a#T=A
Slope 45° 2 x 2 Double Concave,Black,8,https://www.bricklink.com/v2/search.page?q=3046a#T=A
Slope 45° 1 x 2 Double / Inverted with Bottom Pin,Black,2,https://www.bricklink.com/v2/search.page?q=3049b#T=A
Brick Round 1 x 1 Solid Stud,Red,4,https://www.bricklink.com/v2/search.page?q=3062a#T=A
Window 1 x 2 x 2 Classic with Short Sill [Complete],Red,1,https://www.bricklink.com/v2/search.page?q=3081cc01#T=A
"Window 1 x 1 x 1 Classic with Short Sill, No Glass",Red,2,https://www.bricklink.com/v2/search.page?q=3087c#T=A
Brick 2 x 2 [Red Wheels for Single Tyre],Black,2,https://www.bricklink.com/v2/search.page?q=3137c01#T=A
Fence 1 x 4 x 2,White,4,https://www.bricklink.com/v2/search.page?q=3185#T=A
Fence Gate 1 x 4 x 2,White,1,https://www.bricklink.com/v2/search.page?q=3186#T=A
Fence Gate 1 x 4 x 2 Base,White,1,https://www.bricklink.com/v2/search.page?q=3187#T=A
Door 1 x 2 x 3 Left [Old Style with Glass],Red,1,https://www.bricklink.com/v2/search.page?q=32bc01#T=A
Pine Tree - Large 4 x 4 x 6 2/3,Green,1,https://www.bricklink.com/v2/search.page?q=3471#T=A
Baseplate 8 x 24,Green,1,https://www.bricklink.com/v2/search.page?q=3497#T=A
Minifig Hair Female with Pigtails,Red,1,https://www.bricklink.com/v2/search.page?q=3625#T=A
Minifig Head Plain [Solid Stud],Yellow,1,https://www.bricklink.com/v2/search.page?q=3626a#T=A
Tyre Offset Tread Small,Black,4,https://www.bricklink.com/v2/search.page?q=3641#T=A
Brick Arch 1 x 4,Black,2,https://www.bricklink.com/v2/search.page?q=3659#T=A
Window 1 x 4 x 2 Classic with Short Sill [Complete],Red,1,https://www.bricklink.com/v2/search.page?q=453cc01#T=A
